rank,artists,title
1867,BANDA CUISILLOS,NAVIDAD SIN TI
1868,LOS TIGRES DEL NORTE,MAÑANITAS TAPATIAS
1869,FUERZA REGIDA,EL MUCHACHO ALEGRE
1870,BANDA EL RECODO,COMO PUDISTE
1871,LOS ANGELES AZULES,AY AMOR
1872,LA SONORA DINAMITA,CAPULLO Y SORULLO
1873,JUAN GABRIEL,NO VALE LA PENA
1874,RAYITO COLOMBIANO,AL DESPERTAR
1875,LOS GALAVIZ,CUAL SERA LA CURA
1876,INTOCABLE,DONDE ESTAS
1877,ALICIA VILLAREAL,HAZ LO QUE QUIERAS
1878,LAURA LEON,YO NO SOY ABUSADORA
1879,CONTROL,VIVA EL AMOR
1880,ALEJANDRO FERNANDEZ,TANTITA PENA
1881,CHUY LIZARRAGA,LA SERENATA DE UN LOCO
1882,LA SONORA DINAMITA,ESCANDALO
1883,EL KOMANDER,ABUSAMOS DEL ALCOHOL
1884,KUMBIA KINGS WITH JUAN GABRIEL,NO TENGO DINERO
1885,CHUY LIZARRAGA,NO ES CULPA TUYA
1886,RAYMIX,FAKE LOVER
1887,BOBBY PULIDO,LE PEDIRE
1888,BANDA MACHOS,CHIQUITA BONITA
1889,PEPE GOMEZ JR Y SU GPO. UNION 82FTLA FREGONA,LA NALGONCITA
1890,GRUPO BRYNDIS,TE ESPERARE
1891,INTOCABLE,TE AMO PARA SIEMPRE
1892,LA ARROLLADORA BANDA EL LIMÓN,COMPARAME
1893,PESADO,ABRAZAME
1894,PEPE AGUILAR,POR UNA MUJER BONITA
1895,GRUPO KUAL,LA CUMBIA DEL WIRITO
1896,JENNI RIVERA,AMARGA NAVIDAD
1897,LOS INFINITOS,Mujer Interesada
1898,"AARON Y SU GRUPO ILUSION,MARIANA SEOANE",TE VAS
1899,JUAN GABRIEL,ABRAZAME MUY FUERTE
1900,EL BEBETO,ETIQUETA AZUL
1901,LOS TIGRES DEL NORTE,EL EJEMPLO
1902,PATRULLA 81,ERES DIVINA
1903,LOS ANGELES AZULES,ENTREGA DE AMOR FT SAUL HERNANDEZ
1904,YANET GUADALUPE Y SU GRUPO,EL ESTUPIDO
1905,LOS TEMERARIOS,LA MEJOR QUE SOÑE
1906,INTOCABLE,COQUETA
1907,SONORA SANTANERA,PERFUME DE GARDENIAS
1908,ALFREDO OLIVAS,TUS LAGRIMAS
1909,LA MAFIA,UN ADIOS ES DE DOS
1910,LA ORIGINAL 614,UN TONTO
1911,JOSE JOSE,PRESO
1912,LA SONORA DINAMITA,MIL HORAS
1913,"OZUNA,DOJA CAT,SIA",DEL MAR
1914,LOS CARDENALES DE NUEVO LEON,SOY LO PEOR
1915,LOS ALAMEÑOS DE LA SIERRA,PERFECTA
1916,LOS TUCANES DE TIJUANA,PARRANDEANDO
1917,LISANDRO MEZA,VUELVE
1918,LOS TIGRES DEL NORTE,JOSE PEREZ LEON
1919,LOS HURACANES DEL NORTE,PA QUE TE CASABAS JUAN
1920,LUIS MADRID,MIENTRAS ME VOY
1921,LOS PLEBES DEL RANCHO DE ARIEL CAMACHO,NO LO HICE BIEN
1922,RAMON AYALA Y SUS BRAVOS DEL NORTE,MI GOLONDRINA
1923,LIMITE,SENTIMIENTOS
1924,BETO ZAPATA,BOTELLITAS
1925,LA SEPTIMA BANDA,SE DEFIENDE
1926,VALENTIN ELIZALDE,A MIS ENEMIGOS
1927,PESADO,HUMILLATE
1928,INTOCABLE,ESO DUELE
1929,CONJUNTO PRIMAVERA,HAZME OLVIDARLA
1930,BANDA LOS SEBASTIANES,INCOMPLETO
1931,LADRON,TU ME QUIERES LASTIMAR
1932,"MARCO ANTONIO SOLIS,REMMY VALENZUELA",SE VA MURIENDO MI ALMA
1933,ALEJANDRO FERNANDEZ,ME ESTOY ENAMORANDO
1934,EL COYOTE Y SU BANDA,CITA CON UN INVENTO
1935,BRIAN SANDOVAL,FLOR PALIDA
1936,SOLIDO,HASTA LA CIMA DEL CIELO
1937,EL KOMANDER,HOY TOCA
1938,BANDA RANCHO VIEJO,LA CAMISA MANCHADA
1939,"LA LEYENDA,LOS CLAXONS",CREO QUE NO
1940,PESADO,MIENTRAS DORMIAS
1941,JUAN GABRIEL,NO DISCUTAMOS
1942,LA SONORA DINAMITA,HECHICERIA
1943,LA IMPONENTE VIENTOS DE JALISCO,APOCO NO RECUERDAS
1944,LOS ELEMENTOS DE CULIACAN,CONTIGO
1945,PEDRO FERNANDEZ,ME ENCANTAS.
1946,LOS BUKIS,MI MORENITA
1947,DUELO,ADICTO
1948,JULIO PRECIADO,DOS HOJAS SIN RUMBO
1949,CLAUDIO ALCARAZ,EL PU
1950,GRUPO NICHE,UNA AVENTURA
1951,INTOCABLE,TU ADIOS NO MATA
1952,LA ORIGINAL BANDA EL LIMON,ME ESTA DOLIENDO EL ALMA
1953,LA ARROLLADORA BANDA EL LIMÓN,LO HICISTE OTRA VEZ
1954,CHUY LIZARRAGA,NOMAS FALTO QUE ME QUISIERAS
1955,LOS TEMERARIOS,YA ME VOY PARA SIEMPRE
1956,FARID AUN,SEÑORA DE LAS 4 DECADAS
1957,PESADO,QUE AUN TE AMO
1958,LA SEPTIMA BANDA,QUE PERRON
1959,FIDEL RUEDA,COMO NO QUERIENDO
1960,BANDA EL RECODO,VALE LA PENA
1961,CONJUNTO PRIMAVERA,MORIR DE AMOR
1962,PEDRO INFANTE,CIEN AÑOS
1963,REVANCHA NORTEÑA,COMO DECIRTELO
1964,BANDA ZIRAHUEN,¿Y quien puede ser?
1965,GRUPO G,LA INCONFORME
1966,LOS DOS CARNALES,AL ESTILO RANCHERO
1967,DIEGO HERRERA,Y SI PONES ATENCION
1968,CHICO CHE CHICO FT EL BEBETO,YO NO BAILO CON JUANA
1969,SERGIO VEGA,CUANDO EL SOL SALGA AL REVES
1970,"ALFREDO OLIVAS,FEDERICO FIGUEROA",SIN DETALLES
1971,INTOCABLE,DEJAME AMARTE
1972,COMPLICES,EL BAILE DEL SAPITO
1973,BANDA ESTRELLAS DE SINALOA DE GERMAN LIZARRAGA,SILVIA HERMOSA
1974,PEEWEE,MAS QUE SEXO
1975,BETO VEGA,VOY A ESTAR BIEN
1976,LOS HOROSCOPOS DE DURANGO,PENSE QUE DOLERIA
1977,LEANDRO RIOS,TU GRAN CORAZON
1978,JOVANKO IBARRA,PRIMERO TU
1979,DIEGO HERRERA,COMO DUELE FT BANDA LA TRAKALOSA
1980,BANDA LA TRAKALOSA,DOBLE VIDA
1981,LOS TITANES DE DURANGO,EL PROSTIPIRUGOLFO
1982,JOEY MONTANA,PICKY
1983,LA SEPTIMA BANDA,ME EMPEZO A VALER
1984,JOSE JOSE,VOLCAN
1985,ESPINOZA PAZ,PORQUE LA ENGAÑE
1986,LA ARROLLADORA BANDA EL LIMÓN,TU HISTORIA FUE CONMIGO
1987,BANDA EL RECODO,TE QUIERO A MORIR
1988,BANDA RANCHO VIEJO,CON QUE DERECHO
1989,PAQUITA LA DEL BARRIO,RATA DE DOS PATAS
1990,EMIR PABON,ECHA PA LANTE
1991,BANDABUCANERA,DOÑA MARIQUITA
1992,DIEGO HERRERA,BIEN CALADA
1993,JULIO PRECIADO,AUNQUE NO SEA CONMIGO
1994,LA ARROLLADORA BANDA EL LIMÓN,YO SI TE AME
1995,EL PODER DEL NORTE,TENGO GANAS DE TI
1996,CONJUNTO PRIMAVERA,PERDONAME MI AMOR
1997,JUAN GABRIEL,SE ME OLVIDO OTRA VEZ
1998,LOS CADETES DE LINARES,LOS DOS AMIGOS
1999,TOÑO LIZARRAGA,LOS GUSTOS QUE TIENE EL MUCHACHO
2000,LOS TEMERARIOS,CUANDO PIENSO EN TI
