"artists","explicit","genre","lyric","lyric_provider","musixmatch_rating","rank","title"
"DIEGO HERRERA",0.0,"Music","Tal vez antes de mi te hizo dudar
Tal vez no supo valorar
Lo que tú siempre das

Recuerda que la calma llega tras la tempestad
Y si alguien te falló
Déjame que sea yo
Quien te devuelva la felicidad

Yo no quiero conquistar a más de mil
Lo que quiero es conquistarte
Pero mil veces a ti
Enamorarte cada noche
Y ser el dueño de tu amor

Yo no quiero hacer reír a más de mil
Yo quiero hacerte sonreír
Pero mil veces a ti
Y ser el que en las noches te pueda besar
Mil veces

Yo no quiero conquistar a más de mil
Lo que quiero es conquistarte
Pero mil veces a ti
Enamorarte cada noche
Y ser el dueño de tu amor

Yo no quiero hacer reír a más de mil
Yo quiero hacerte sonreír
Pero mil veces a ti
Y ser el que en las noches te pueda besar
Mil veces, mil veces

","MusicMatch",17.0,135,"MIL VECES"
"LOS PERDIDOS DE SINALOA",0.0,"Latin / Regional Mexicano","Sé como estás
Me he enterado que sufres y te arrepientes
Lo he notado todo irreal, no me sorprende
Ahora sigues el camino que mereces

Me dices que me quieres
Que ya no soportas más
Estar en esta amarga y triste soledad
No hay vuelta atrás
Tú así lo elegiste un día

Te vas, te marchas
Y mi corazón se queda triste y lastimado
Me queda claro, no me vuelvo a enamorar
De veras me hiciste mucho mal

No me vengas a llorar
No me digas que me quieres, no me mientas más
No te pongas de rodillas, no hay perdones ya

Saca cuentas y conmigo ya no cuentes más
Te he eliminado hasta del celular
Y ahora estás perdida

Tu cuerpo de cartón
Ya no te sirve ni para decir mentiras
No más reproches, no me vuelvas a llamar
Entiende, no quiero verte más

No me vengas a llorar
No me digas que me quieres, no me mientas más
No te pongas de rodillas, no hay perdones ya

Saca cuentas y conmigó ya no cuentes más
Te he eliminado hasta del celular
Y ahora estás perdida

","MusicMatch",20.0,136,"ESTAS PERDIDA"
"PESADO",0.0,"Latin / Regional Mexicano","No basta con decirme lo lamento
Las heridas no se curan con decir lo siento
El daño simplemente ya está hecho
Y para ser sincero no ya no te quiero

Y no es que sea un capricho o sea mi orgullo
Simplemente te olvidé, ya no me siento tuyo
Te fuiste aún sabiendo cuanto te adoraba
Me abandonaste, me olvidaste, me diste la espalda

Y hoy crees que tan solo con decir que estás arrepentida
Voy a ser parte nuevamente de tu vida
Que equivocada estás
Ya no te amo más

Porque el amor que te tenía se fue tras de ti
Y me quedé sin ese amor y me quedé sin ti
Me hundí en la soledad y por no verte más
Hasta mis ojos se secaron de tanto llorar

Y comencé a hacerme a la idea de que te perdí
Y comencé a olvidarte hasta que al fin lo conseguí
Hoy ya no siento amor, ya me olvidé de ti
Y para ser sincero en este tiempo descubrí
Que estoy mejor sin ti

Y hoy crees que tan solo con decir que estás arrepentida
Voy a ser parte nuevamente de tu vida
Que equivocada estás
Ya no te amo más

Porque el amor que te tenía se fue tras de ti
Y me quedé sin ese amor y me quedé sin ti
Me hundí en la soledad y por no verte mas
Hasta mis ojos se secaron de tanto llorar

Y comencé a hacerme a la idea de que te perdí
Y comencé a olvidarte hasta que al fin lo conseguí
Hoy ya no siento amor, ya me olvidé de ti
Y para ser sincero en este tiempo descubrí
Que estoy mejor sin ti

","MusicMatch",25.0,137,"ESTOY MEJOR SIN TI"
"BANDA EL RECODO",0.0,"","Hubiera preferido no besarte
Aquella noche que nos presentaron
Hubiera decidido no llamarte
Pero caí rendido a tus encantos
Hubiera sido inteligente
Para marcharme a tiempo
Y no pagar las consecuencias
Por quererte en serio

¿Por qué nomás jugaste a hacerme daño?
¿Por qué dejaste que me enamorara?
¿Por qué tanto decirme ""yo te amo""
Si no sentías nada?
¿Por qué manipular mis sentimientos?
¿Por qué hacerme creer que era importante?
¿Por qué obligarme a extrañar tu cuerpo
Si no estaba en tus planes?

Hubiera corregido mi actitud
Hubiera tal vez sido como tú

y hubiera preferido
no haberte conocido nunca
seguro que sí

¿Por qué nomás jugaste a hacerme daño?
¿Por qué dejaste que me enamorara?
¿Por qué tanto decirme ""yo te amo""
Si no sentías nada?
¿Por qué manipular mis sentimientos?
¿Por qué hacerme creer que era importante?
¿Por qué obligarme a extrañar tu cuerpo
Si no estaba en tus planes?

Hubiera corregido mi actitud
Hubiera tal vez sido como tú

","MusicMatch",26.0,138,"HUBIERA SIDO COMO TU"
"ALAN PINEDA",0.0,"Music","Estoy jugando con fuego
Pero me quiero quemar
Contigo vale la pena
Lo que pudiera pasar
Contigo voy a arriesgarme
Me gustas y que más da
Ya saboreo tu boca
Con la que voy a pecar

Le traigo ganas a lo que esta bajo tu ropa
Voy a besarte cada rincón hasta tu sombra
Tú dices cuando a nuestro encuentro ponle fecha
Un día entero para repetir la experiencia
Una y otra vez hasta que nos amanezca

Tu dices cuando mija
Y es Alan Pineda
Mamasita

Le traigo ganas a lo que esta bajo tu ropa
Voy a besarte cada rincón hasta tu sombra
Tú dices cuando a nuestro encuentro ponle fecha
Un día entero para repetir la experiencia
Una y otra vez hasta que nos amanezca

","MusicMatch",6.0,139,"HASTA QUE NOS AMANEZCA"
"KIKIN Y LOS ASTROS",0.0,"Latin","","MusicMatch",14.0,140,"QUISIERA HABLAR DE TI"
"ALFREDO OLIVAS",0.0,"Latin / Regional Mexicano","Se llegó el momento 
Ya ni escogí la madera 
Hace mucho tiempo 
Estaba en lista de espera 

Yo nunca me detuve 
A organizar mi sepelio 
¿Cuántos invitados? 
¿Cuáles evangelios? 
Y tan de repente 
Se apagó la luz 
Nuevo domicilio 
Entre la tumba y la cruz

Al clan de los muertos 
Ahora soy nuevo ingresado 
Hoy oficialmente 
Comenzará mi legado 
A llevarse a cabo

Quizás fui un cualquiera 
Pero nunca del montón 
Y el que ahora me muera 
No me quitará ese don

Bien yo tuve la culpa 
Porque sabía que era mortal 
Pido una disculpa 
Por no atacar ese mal

Si ya estaba enterado 
Que era alérgico a la muerte 
Que hago en este sitio 
Donde ahora ya es muy nerte

Bajen la caja 
Ya no les daré más guerra 
Y sin piedad 
Échenme un puño de tierra 
Y la cierran

Por hoy a mí 
A mí se me acaba 
De acabar el mundo 
Este mundo de los egos 
Que cómo saben 
El rey siempre 
Es el tuerto
Yo ya estaba condenado 
Y voy a seguir esperando 
Sus regalos 
El día de los muertos

","MusicMatch",21.0,141,"EL DIA DE LOS MUERTOS"
"CHIQUIS RIVERA",0.0,"Latin / Regional Mexicano","","MusicMatch",14.0,142,"ANIMATE Y VERAS"
"ESPINOZA PAZ",0.0,"","Te levantas con el espejo en la mano
Y cuando menos lo espero entras al baño
Levi's ajustado, el pelo planchado
Uñas largas, maquillaje en todos lados

Para llamar la atención una Louis Vuitton
Labios rojos, pupilentes de color
Cachetes rosados con lentes ahumados
Y empeorando cada vez la situación

De qué sirve que luzcas así
Si jamás te preocupas por mí
No me das importancia jamás
Ni me dices a donde te vas

Vanidosa todo se acabó
No me puedo esforzar solo yo
Eres fría como Canada
Lo que quieres es tu libertad

Ropa, alhajas, zapatos
Y si lavas platos
Pierdes el glamour
No soporto tu actitud

De qué sirve que luzcas así
Si jamás te preocupas por mí
No me das importancia jamás
Ni me dices a donde te vas

Vanidosa todo se acabó
No me puedo esforzar solo yo
Eres fría como Canada
Lo que quieres es tu libertad

Ropa, alhajas, zapatos
Y si lavas platos
Pierdes el glamour
Me fastidia tu actitud

","MusicMatch",20.0,143,"VANIDOSA"
"LEANDRO RIOS",0.0,"Latin","Señorita
Usted me gusta y dígame cómo le hacemos
Sé que usted es de ciudad y yo de pueblo
Aunque a algunos no les parezca, yo voy a hacer el intento

Señorita
Aunque levante la ceja y suene extraño
Tengo ganas de llevarla de la mano
Yo la quiero conquistar, yo la quiero enamorar

Señorita
Tengo ganas de besarle esa boquita
Ya se me está poniendo coloradita
Yo sé que la idea le agrada, su mirada no me engaña

Señorita
Permítame llevarla para el pueblo
La voy a despertar a puros besos
Yo sé que estará contenta al lado de este ranchero

Señorita
¿Qué le parece si empezamos?
Aceptándome una cita

Y le aseguro
Que la vo' a hacer feliz en el rancho, mamacita
Es El Penco, Leandro Ríos, viejo, Ya-yay

Señorita
Aunque levante la ceja y suene extraño
Tengo ganas de llevarla de la mano
Yo la quiero conquistar, yo la quiero enamorar

Señorita
Tengo ganas de besarle esa boquita
Ya se me está poniendo coloradita
Yo sé que la idea le agrada, su mirada no me engaña

Señorita
Permítame llevarla para el pueblo
La voy a despertar a puros besos
Yo sé que estará contenta al lado de este ranchero

Señorita
¿Qué le parece si empezamos?
Aceptándome una cita

","MusicMatch",15.0,144,"SEÑORITA"
"RAYMIX",0.0,"","Let's go

Llámame
Cuando tú quieras, llámame
Sabes que yo estaré pa' ti
Incondicional

Solo llámame
Entiendo que lo nuestro terminó
Pero quiero que sepas que tú y yo
Juramos protegernos los dos

No hay persona como tú en este mundo
Con quien me guste estar
En ti yo puedo confiar
Sabes que tú en mí, igual

Afortunado de que seas mi amiga
Afortunado de ir creciendo contigo
Afortunado, es lo que siempre me digo
Somos los dos

Así que, llámame
Entiendo que lo nuestro terminó
Pero te ofrezco seamos tú y yo
Los amigos que solíamos ser

Solo te pido, llámame
Entiendo que lo nuestro fracasó
Hagamos como que nada pasó
Solo quiero volverte a ver
Así que, llámame

Y esto es la LT cumbia (Raymix)
Woo-hoo

No hay persona como tú en este mundo
Con quien me guste estar
En ti yo puedo confiar
Sabes que tú en mí, igual

Afortunado de que seas mi amigo
Afortunado de ir creciendo contigo
Afortunado, es lo que siempre me digo
Somos los dos

Así que, llámame
Entiendo que lo nuestro terminó
Pero te ofrezco seamos tú y yo
Los amigos que solíamos ser

Solo te pido, llámame
Entiendo que lo nuestro fracasó
Hagamos como que nada pasó
Solo quiero volverte a ver
Así que, llámame

","MusicMatch",32.0,145,"LLAMAME"
"LOS CARDENALES DE NUEVO LEON","","","Te propongo que te olvides
Aunque sea por un solo instante de complicaciones
Y que ignores a la gente
Que te exige por todos tus actos mil explicaciones

Y abandones tus prejuicios que te atan
Ya no eres una niña
Te propongo ser mujer

Para que te sientas mujer
Pongo mi experiencia a tus pies
Tengo todo para hacerte muy dichosa
Cubriré tu piel con mi piel
Y con mis caricias haré
Que tú alcances las estrellas más hermosas

Puedo provocar en tu alma tantas cosas
Todo está en que tú quieras
Y que quieras aceptar
Formar parte de mi historia

Te propongo que te olvides
Aunque sea por un solo instante de complicaciones
Y que ignores a la gente
Que te exige por todos tus actos mil explicaciones

Y abandones tus prejuicios que te atan
Ya no eres una niña
Te propongo ser mujer

Para que te sientas mujer
Pongo mi experiencia a tus pies
Tengo todo para hacerte muy dichosa
Cubriré tu piel con mi piel
Y con mis caricias haré
Que tú alcances las estrellas más hermosas

Puedo provocar en tu alma tantas cosas
Todo está en que tú quieras
Y que quieras aceptar
Formar parte de mi historia

","Google","",146,"PARTE DE MI HISTORIA"
"LOS ANGELES AZULES,JULIETA VENEGAS","","","Todo este tiempo perdido
Marchitándome
Imaginando aventuras
Extrañándote

Todo ese oro fundido que no es para mí
¿A quién se lo das?
Quién se ha sedado de mí y darán

Ven corazón
Ven a mi lado y acaríñame
Ven corazón
No seas ingrato y no te apartes de mí
Ven que este baile es el que enseña al cuerpo
Lo que la vida ya no toma en cuenta
Y acá está mí cuerpo esperándote

Algo del tiempo perdido
Es mi culpa lo sé
En ese andar confundido
Te lastimé

En esos días mareados no supe expresarme
No estuve a nivel
Acá estoy mujer, lo solucioné

Ven corazón
Ven a mi lado y acaríñame
Ven corazón
No seas ingrato y no te apartes de mí
Acá me tienes aceptando el reto
Aquí me quedo, este es mí lugar
Tuve tanto miedo de perderte
Nada nos podrá separar

Ven corazón
Ven a mi lado y acaríñame
Ven corazón
No seas ingrato y no te apartes de mí
Ven que este baile es el que enseña al cuerpo
Lo que la vida ya no toma en cuenta
Y acá está mí cuerpo esperándote

","Google","",147,"ACARIÑAME"
"ALEJANDRO FERNANDEZ,MON LAFERTE",0.0,"","Desde que estoy a tú lado no sé concentrarme
Pierdo noción de las horas y no sé a donde voy
Cuando me ven mis amigos suelen preguntarme
Qué es lo que pasa conmigo, no saben quien soy

Ya les voy a contar
Que muero por verte
Que grande es mi suerte
Que a estas alturas
Que tiene mi vida
Llegué a conocerte

Nada me importa la gente
Lo nuestro tiene que saberse
En honor a esta pasión
Hay que decirlo de frente
Que a este mundo le es urgente
Que se sepa nuestro amor

Ya les voy a contar
Que muero por verte
Que grande es mi suerte
Que a estas alturas
Que tiene mi vida
Llegué a conocerte

Nada me importa la gente
Lo nuestro tiene que saberse
En honor a esta pasión
Hay que decirlo de frente
Que a este mundo le es urgente
Que se sepa nuestro amor

Nada me importa la gente
Lo nuestro tiene que saberse
En honor a esta pasión
Hay que decirlo de frente
Que a este mundo le es urgente
Que se sepa nuestro amor

","MusicMatch",23.0,148,"QUE SE SEPA NUESTRO AMOR"
"ELSA RIOS","","Latin / Regional Mexicano","","",1.0,149,"DIVINA HASTA LA MUERTE"
"FIDEL RUEDA",0.0,"Latin / Regional Mexicano","","MusicMatch",23.0,150,"TENGO GANAS"
"DIEGO HERRERA",0.0,"Music","En todos los sentidos, tú me encantas
Me quedo corto cuando digo que te amo
Quiero caminar contigo
No me sueltes de tu mano
Que la vida es más hermosa, desde que estás a mi lado

Quiero que tus labios siempre besen a mi boca
Y que tus ojitos no me dejen de extrañar
Tantas cosas buenas me transmite tu persona
Que con solo verte tú me haces feliz de más

No quisiera nunca despertar sin ti a mí lado
Creo que se merece un gran aplauso el amor
Porque está ocasión contigo si que me ha premiado
No sé que hice bien, pero Diosito se lució
Eres simplemente lo mejor, que me ha pasado
Que bendita concidencia la de habernos encontrado

Quiero que tus labios siempre besen a mi boca
Y que tus ojitos no me dejen de extrañar
Tantas cosas buenas me transmite tu persona
Que con solo verte tú me haces feliz de más

No quisiera nunca despertar sin ti a mí lado
Creo que se merece un gran aplauso el amor
Porque está ocasión contigo si que me ha premiado
No sé que hice bien, pero Diosito se lució
Eres simplemente lo mejor, que me ha pasado
Que bendita concidencia la de habernos encontrado

","MusicMatch",17.0,151,"EN TODOS LOS SENTIDOS"
"KIKIN Y LOS ASTROS FT EDWIN LUNA,LOS PICADIENTES DE CABORCA","","Latin","","",14.0,152,"LA ORILLITA DEL MAR"
"ANA BARBARA",0.0,"Latin / Regional Mexicano","Pensaste hacer las cosas bien
Dis'que para yo no cacharte
Pero que soy bien lista, eso no lo maliciaste
Al diablo con tus cuentos, esta vez sí la c- regaste

Qué gacha la vieja que agarraste y que le decían La Nacha
Lo peor, es que te trata como a una cucaracha
Sabrás lo que se siente cuando venga mi revancha

Quiero decirte que toda tu desgracia, tú mismo la decidiste
A mí ya no me ruegues que conmigo no la hiciste

Yo ni loca
Me quedo con un tipo que ni ganas me provoca
Y más si lo caché poniéndome el cuerno con otra
¡Qué poca! Yo no le doy mi cuerpo nada más porque le toca

Ay, no, ni loca
Voy a limpiar la casa, ni le vo' a lavar la ropa
Por mí, ya vete con el alcahuete de tu compa
Y, ya supe, fue él quien te presentó a la que besabas en la boca

Ay, no, qué poca
No, no, ni loca

Quiero decirte que toda tu desgracia, tú mismo la decidiste
A mí ya no me ruegues, que conmigo no la hiciste, eh

Yo ni loca
Me quedo con un tipo que ni ganas me provoca
Y, más, si lo caché poniéndome el cuerno con otra
¡Qué poca! Yo no le doy mi cuerpo nada más porque le toca

Ay, no, ni loca
Voy a limpiar la casa, ni le vo' a lavar la ropa
Por mí, ya vete con el alcahuete de tu compa
Y, ya supe, fue él quien te presentó a la que besabas en la boca

Ay, no, qué poca
Ay, no, ni loca

Anda, hombre
Este sí se pasó de lanza
Está bien güey

","MusicMatch",19.0,153,"QUE POCA"
